OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
220,1100,778,6,375,-37,102,15,2023-02-16 16:24:49
220,1104,781,-8,392,-36,104,11,2023-02-16 16:25:52
222,968,685,-11,461,-13,100,10,2023-02-16 16:27:18
225,1132,801,3,364,-37,108,10,2023-02-16 16:28:45
224,1115,789,0,382,-34,106,13,2023-02-16 16:31:45
212,1037,734,-7,453,-34,103,11,2023-02-16 16:33:21
232,1115,789,0,373,-33,105,16,2023-02-16 16:36:10
224,970,686,-17,512,-23,101,13,2023-02-16 16:40:10
213,1008,713,-12,397,-29,100,9,2023-02-16 16:40:42
207,994,703,2,504,-21,99,15,2023-02-16 16:41:11
226,1098,777,-6,370,-32,105,18,2023-02-16 16:42:50
216,1044,739,0,451,-32,99,16,2023-02-16 16:49:49
226,970,686,8,569,-22,101,11,2023-02-16 16:50:45
204,996,705,1,423,-26,95,10,2023-02-16 16:52:10
213,1049,742,-16,372,-34,100,9,2023-02-16 16:52:45
216,1043,738,0,408,-40,104,10,2023-02-16 16:53:11
220,1076,761,-13,406,-28,100,9,2023-02-16 16:54:48
243,1084,767,-2,369,-43,107,15,2023-02-16 16:55:45
235,999,707,0,470,-19,104,19,2023-02-16 17:00:50
225,961,680,-9,528,-15,99,14,2023-02-16 17:01:20
222,936,662,-11,459,-13,98,12,2023-02-16 17:03:22
261,1115,789,2,386,-37,107,27,2023-02-16 17:04:49
219,1098,777,-5,372,-37,104,10,2023-02-16 17:08:40
227,1081,765,2,437,-41,105,10,2023-02-16 17:09:15
249,1094,774,4,437,-42,109,22,2023-02-16 17:09:41
242,1068,756,-8,359,-34,106,8,2023-02-16 17:14:45
246,1074,760,-11,397,-32,107,9,2023-02-16 17:19:44
221,1077,762,-4,364,-33,104,14,2023-02-16 17:22:22
228,1098,777,-4,379,-34,105,10,2023-02-16 17:23:49
229,1146,811,-6,422,-32,104,16,2023-02-16 17:24:50
233,1039,735,-3,441,-26,104,12,2023-02-16 17:26:15
214,1040,736,22,480,-15,98,18,2023-02-16 17:27:20
241,1078,763,-6,380,-41,108,12,2023-02-16 17:28:19
208,1025,725,7,439,-25,98,11,2023-02-16 17:31:15
225,1105,782,2,414,-35,105,14,2023-02-16 17:33:15
225,1129,799,-6,396,-33,105,10,2023-02-16 17:36:20
233,1141,807,-4,348,-35,104,23,2023-02-16 17:36:46
233,1146,811,-2,383,-29,106,21,2023-02-16 17:39:18
212,1011,715,5,474,-20,98,12,2023-02-16 17:40:21
219,1066,754,-6,389,-36,105,10,2023-02-16 17:41:12
230,1143,809,-17,372,-32,105,14,2023-02-16 17:43:15
211,1033,731,5,478,-26,99,12,2023-02-16 17:44:16
214,1050,743,10,455,-25,100,10,2023-02-16 17:46:12
221,1073,759,-9,389,-33,104,19,2023-02-16 17:55:17
220,1042,737,9,487,-36,103,10,2023-02-16 17:57:11
204,968,685,1,458,-21,98,9,2023-02-16 17:59:16
210,985,697,7,471,-26,100,12,2023-02-16 18:01:45
256,1105,782,4,406,-41,110,12,2023-02-16 18:02:15
248,1136,804,1,382,-48,110,17,2023-02-16 18:05:31
